,ID,BirdName,TypeOfBird,ScientificName
0,1,Eurasian Collared-Dove,Dove,Streptopelia
1,2,Bald Eagle,Haliaeetus,Leucocephalus
2,3,Coopers Hawk,Accipiter,Cooperii
3,4,Bells Sparrow,Sparrow,Artemisiospiza Belli
4,5,Mourning Dove,Dove,Zenaida Macroura
5,6,Rock Pigeon,Dove,Columba Livia
6,7,Aberts Towhee,Sparrow,Melozone Aberti
7,8,Brewers Sparrow,Sparrow,Spizella Breweri
8,9,Canyon Towhee,Sparrow,Melozone Fusca
9,10,Black Vulture,Hawk,Coragyps Atratus
10,11,Gila Woodpecker,Woodpecker,Melanerpes Uropygialis
11,12,Gilded Flicker,Woodpecker,Colaptes Chrysoides
12,13,Cassins Sparrow,Sparrow,Peucaea Cassinii
13,14,American Kestrel,Hawk,Falco Sparverius
14,15,Hairy Woodpecker,Woodpecker,Picoides villosus
15,16,Lewis Woodpecker,Woodpecker,Melanerpes Lewis
16,17,Snail Kite,Hawk,Rostrhamus Sociabilis
17,18,White-tailed Hawk,Hawk,Geranoaetus Albicaudatus
